iter	RMSE
0	0.661370941	11	0.65907182	1.2	0.6569483	1.83	0.654974	1.832535906
5	1.830631176
6	1.828852061
7	1.827256396
8	1.825808245
9	1.824338768
10	1.822952086
11	1.821582726
12	1.820337606
13	1.819068849
14	1.81784662
15	1.816607808
16	1.815429601
17	1.814124276
18	1.813009661
19	1.811803428
20	1.81072632
21	1.809739161
22	1.808615786
23	1.807694919
24	1.806669083
25	1.805854587
26	1.80506361
27	1.80402322
28	1.803121624
29	1.802292032
30	1.801270301
31	1.800316855
32	1.79941959
33	1.798644502
34	1.79774146
35	1.796948021
36	1.796306592
37	1.795388081
38	1.794569587
39	1.793849696
40	1.793244142
41	1.792444613
42	1.79084146
43	1.790292181
44	1.789169267
45	1.788560009
46	1.787202831
47	1.786415325
48	1.78567869
6820785
49	1.786184618
50	1.785429831
51	1.784842915
78904876
53	1.788287357
1850681
51	0.6249907478
52	0.6248160146
	0.6293766572
54	0.6292119357
55	0.6290543131
56	0.6289222397
57	0.6287314778
558	0.6276349544
